name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.0014944132616908658,0.7561053739049856,232989345.0,0.0,679437229.0,0.0,None,None,None,None,None,None,2.3991173974214552,1.5489084535315363,2.3991173974214552,1.5489084535315363,0.5011107321487723,0.0,0.5078482977452433,0.0,0.4046064814814815,0.0,4243.6916736014355,0.0,0.002271002447108805,0.6369225450776088,-65.24444145376697,0.0,-65.25197242851684,0.0
mc456_mc_100mln_my_params_tiss_id_4_g_0_1__cube,0.9121984568031147,0.0,218357998.0,0.0,568744762.0,0.0,None,None,None,None,None,None,5.035101942400006,2.2439032827642116,5.035101942400006,2.2439032827642116,0.5000452098505102,0.0,0.5078482977452433,0.0,0.46002314814814815,0.0,270.16993881165934,1.2884996818187424e-60,0.4660218197858542,0.0,10.935716345364684,8.11286636978579e-28,14.203971979162503,1.0973136466336525e-45
mc456_mc_100mln_my_params_tiss_id_4_g_0_2__cube,0.9178335675675289,0.0,228160483.0,0.0,590457828.0,0.0,None,None,None,None,None,None,4.555971619089087,2.1344722108964285,4.555971619089087,2.1344722108964285,0.5000797617412456,0.0,0.5078482977452433,0.0,0.4384490740740741,0.0,256.8133336107657,1.0292243822906672e-57,0.478614150358068,0.0,10.452979831038899,1.470716517261071e-25,13.817229611787518,2.4815387796449764e-43
mc456_mc_100mln_my_params_tiss_id_4_g_0_3__cube,0.918334753212284,0.0,239879090.0,0.0,616325193.0,0.0,None,None,None,None,None,None,4.110452468375442,2.0274250832954204,4.110452468375442,2.0274250832954204,0.5001389926562699,0.0,0.5078482977452433,0.0,0.41310185185185183,0.0,257.3384165674124,7.913874939014277e-58,0.4916765005275694,0.0,10.438152925088293,1.7191372254858576e-25,14.04189912831649,1.0833034432980607e-44
mc456_mc_100mln_my_params_tiss_id_4_g_0_4__cube,0.9200589166955435,0.0,253168404.0,0.0,645455375.0,0.0,None,None,None,None,None,None,3.611244865740379,1.9003275680104152,3.611244865740379,1.9003275680104152,0.5002389967941135,0.0,0.5078482977452433,0.0,0.38300925925925927,0.0,236.26922087777552,3.011780459033611e-53,0.5079787398328381,0.0,9.761916832498287,1.6848159904213359e-22,13.454824211896826,3.4920230204747055e-41
mc456_mc_100mln_my_params_tiss_id_4_g_0_5__cube,0.9229557119971873,0.0,267746258.0,0.0,678492474.0,0.0,None,None,None,None,None,None,3.061056834284054,1.7495876183501224,3.061056834284054,1.7495876183501224,0.5004229751541175,0.0,0.5078482977452433,0.0,0.3475,0.0,207.06669470680163,6.794620438243568e-47,0.5326962150610574,0.0,8.843497829041326,9.446572823797183e-19,12.609358705457694,2.1737354300256953e-36
mc456_mc_100mln_my_params_tiss_id_4_g_0_6__cube,0.9242511852013421,0.0,283158643.0,0.0,718030914.0,0.0,None,None,None,None,None,None,2.550453176825582,1.5970138311315847,2.550453176825582,1.5970138311315847,0.5007758290915614,0.0,0.5078482977452433,0.0,0.30291666666666667,0.0,159.71126485328205,1.4097721496294765e-36,0.5580435074804152,0.0,7.341821327580868,2.125504804044008e-13,10.87895508304048,1.5767133934909773e-27
mc456_mc_100mln_my_params_tiss_id_4_g_0_7__cube,0.9327417309140343,0.0,303492310.0,0.0,767257328.0,0.0,None,None,None,None,None,None,1.8878917782907627,1.3740057417240885,1.8878917782907627,1.3740057417240885,0.5015045798822636,0.0,0.5078482977452433,0.0,0.2436342592592593,0.0,102.49769350630457,4.4545247869653736e-24,0.6220993012543335,0.0,5.4061062330553264,6.45797312871079e-08,8.739629690743987,2.421097505152714e-18
mc456_mc_100mln_my_params_tiss_id_4_g_0_8__cube,0.9455162327457619,0.0,328708961.0,0.0,832142909.0,4.840622639138826e-167,None,None,None,None,None,None,1.1797258471080079,1.0861518526928027,1.1797258471080079,1.0861518526928027,0.5031476169515154,0.0,0.5078482977452433,0.0,0.15796296296296294,0.0,30.414207022273516,3.499588958321608e-08,0.730942890480755,0.0,2.186064903522883,0.02881353128037355,4.213770466158694,2.516517350831457e-05
mc456_mc_100mln_my_params_tiss_id_4_g_0_9__cube,0.9808368340118888,0.0,179858.0,0.34133477620117814,932304683.5,0.8239870952502235,None,None,None,None,None,None,0.08861210093560222,0.2976778475728455,0.08861210093560222,0.2976778475728455,0.5078482977452433,0.0,0.5078482977452433,0.0,0.0010648148148149073,1.0,0.010610613146566042,0.9179569952471945,0.9796595143889006,0.0,0.08490575395042602,0.9323365140462405,0.595276448105241,0.5516618145609363
mc456_mc_100mln_my_params_tiss_id_4_g_0__cube,0.9101901192385011,0.0,209387221.0,0.0,547861832.0,0.0,None,None,None,None,None,None,5.428912516053709,2.330002685846887,5.428912516053709,2.330002685846887,0.5000252876164136,0.0,0.5078482977452433,0.0,0.47942129629629626,0.0,267.8588558714499,4.094661178181208e-60,0.45743119586880554,0.0,10.93160902993538,8.488109435030786e-28,14.024060793408047,1.391603923245806e-44
mc456_mc_100mln_my_params_tiss_id_4_g_1__cube,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,2.508583031458097,1.5838506973380089,2.508583031458097,1.5838506973380089,0.5,0.0,0.5078482977452433,0.0,1.0,0.0,5563.078329327368,0.0,None,None,-84.16554446056,0.0,-84.16554446055999,0.0
